question,answer
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 wasps, 10 jellyfishs, 9 elephants, 13 crabs?
",184
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 leech, 13 crickets, 7 praying mantiss, 11 ants, 1 tiger, 2 bees, 1 horse, 5 starfishs?
",231
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 ducks, 3 shrimps, 3 lobsters, 13 starfishs, 14 scorpions, 11 horses, 2 butterflys, 8 bees?
",355
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 butterflys, 9 grasshoppers, 9 humans, 13 insects?
",228
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 deers, 2 beetles, 15 giraffes, 3 fireflys, 6 ants, 14 chickens, 2 woodlouses, 6 cats, 6 humans, 4 scorpions?
",286
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 scorpions, 14 shrimps, 7 cats, 9 giraffes, 8 elephants, 12 tigers?
",404
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 flatworms, 3 scorpions, 13 fireflys, 7 beetles, 14 grasshoppers, 3 jellyfishs, 6 praying mantiss?
",264
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 praying mantiss, 1 scorpion, 14 fireflys, 15 crabs, 1 beetle, 15 woodlouses?
",530
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 cockroachs, 4 shrimps, 8 starfishs, 6 fireflys, 10 spiders?
",238
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 horses, 3 dogs, 5 starfishs, 2 chickens?
",89
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 fireflys, 9 crabs, 15 starfishs?
",243
