question,expected_answer
"Solve this cryptarithm:

  SISS
+  ISO
------
  NSOT

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","I=7,N=5,O=9,S=4,T=3"
"Solve this cryptarithm:

    JMG
   MMTE
+ GLEGB
-------
  JCVLT

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","B=1,C=0,E=7,G=4,J=5,L=3,M=6,T=2,V=9"
"Solve this cryptarithm:

     FYK
   YSFMF
+  KFIDI
--------
  MIFYSN

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","D=3,F=6,I=2,K=7,M=1,N=5,S=9,Y=4"
"Solve this cryptarithm:

  WFSM
+ TNMM
------
  KSSM

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","F=8,K=9,M=0,N=3,S=1,T=6,W=2"
"Solve this cryptarithm:

   ISQF
   JQOF
+ OWFEB
-------
  EESJI

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","B=0,E=6,F=2,I=4,J=8,O=5,Q=7,S=9,W=3"
"Solve this cryptarithm:

  JVPPC
+ DPPCD
-------
  GJDGF

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","C=5,D=4,F=9,G=7,J=3,P=2,V=1"
"Solve this cryptarithm:

     YLY
   YTJNV
+  JNNWD
--------
  IWWYYW

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","D=7,I=1,J=6,L=9,N=3,T=8,V=0,W=2,Y=5"
"Solve this cryptarithm:

   MQTM
+ RMAJT
-------
  MRYJM

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","A=2,J=3,M=8,Q=9,R=7,T=0,Y=1"
"Solve this cryptarithm:

   DNNA
+ QFFAV
-------
  QHAHA

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","A=1,D=5,F=3,H=9,N=8,Q=7,V=0"
"Solve this cryptarithm:

   SLF
+  OVE
------
  UWCC

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","C=6,E=9,F=7,L=5,O=4,S=8,U=1,V=0,W=2"
"Solve this cryptarithm:

   PHMV
+ NPNMF
-------
  HPJNN

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","F=1,H=5,J=0,M=7,N=4,P=9,V=3"
"Solve this cryptarithm:

   KYKO
+ YXBHU
-------
  BAHFF

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","A=0,B=4,F=8,H=7,K=1,O=6,U=2,X=9,Y=3"
"Solve this cryptarithm:

    ECE
+ WUWUE
-------
  WELKV

Each letter stands for a unique digit (0-9). No leading letter can be zero.
Provide a comma separated mapping from letters to digits that satisfies the equation in your final answer. Output format: ""A=1,B=2,C=3"" (without quotes)
","C=5,E=7,K=2,L=1,U=6,V=4,W=3"
